Gender,ItemPurchased,TotallyBought,Location,Category,Season
Female,Shoes,1,Arizona,Footwear,Spring
Female,Skirt,2,Arizona,Clothing,Winter
Female,Socks,1,Arizona,Clothing,Summer
Female,Sweater,2,Arizona,Clothing,Spring
Female,Blouse,1,Arkansas,Clothing,Winter
Female,Boots,1,Arkansas,Footwear,Summer
Female,Dress,2,Arkansas,Clothing,Spring
Female,Gloves,2,Arkansas,Accessories,Summer
Female,Handbag,1,Arkansas,Accessories,Spring
Female,Hoodie,1,Arkansas,Clothing,Winter
Female,Jacket,1,Arkansas,Outerwear,Fall
Female,Jeans,2,Arkansas,Clothing,Fall
Female,Jewelry,2,Arkansas,Accessories,Winter
Female,Pants,1,Arkansas,Clothing,Spring
Female,Sandals,3,Arkansas,Footwear,Spring
Female,Scarf,1,Arkansas,Accessories,Fall
Female,Shirt,2,Arkansas,Clothing,Fall
Female,Shoes,2,Arkansas,Footwear,Fall
Female,Shorts,1,Arkansas,Clothing,Summer
Female,Sweater,1,Arkansas,Clothing,Fall
Female,T-shirt,1,Arkansas,Clothing,Spring
Female,Backpack,2,California,Accessories,Summer
Female,Boots,2,California,Footwear,Winter
Female,Coat,1,California,Outerwear,Summer
Female,Dress,3,California,Clothing,Summer
Female,Handbag,1,California,Accessories,Spring
Female,Hoodie,1,California,Clothing,Spring
Female,Jeans,2,California,Clothing,Fall
Female,Jewelry,1,California,Accessories,Summer
Female,Pants,1,California,Clothing,Fall
Female,Sandals,1,California,Footwear,Summer
Female,Shirt,2,California,Clothing,Summer
Female,Shorts,2,California,Clothing,Fall
Female,Skirt,4,California,Clothing,Spring
Female,Sunglasses,2,California,Accessories,Summer
Female,Sweater,2,California,Clothing,Winter
Female,T-shirt,2,California,Clothing,Winter
Female,Backpack,2,Colorado,Accessories,Winter
Female,Dress,2,Colorado,Clothing,Winter
Female,Gloves,2,Colorado,Accessories,Summer
Female,Handbag,3,Colorado,Accessories,Spring
Female,Hat,1,Colorado,Accessories,Winter
Female,Hoodie,3,Colorado,Clothing,Spring
Female,Jacket,2,Colorado,Outerwear,Summer
Female,Jewelry,1,Colorado,Accessories,Summer
Female,Sandals,1,Colorado,Footwear,Fall
Female,Shirt,4,Colorado,Clothing,Winter
Female,Shoes,1,Colorado,Footwear,Spring
Female,Skirt,1,Colorado,Clothing,Summer
Female,Sneakers,1,Colorado,Footwear,Summer
Female,Sunglasses,1,Colorado,Accessories,Fall
Female,Sweater,1,Colorado,Clothing,Winter
Female,Belt,1,Connecticut,Accessories,Winter
Female,Blouse,2,Connecticut,Clothing,Summer
Female,Boots,3,Connecticut,Footwear,Fall
Female,Coat,1,Connecticut,Outerwear,Fall
Female,Gloves,1,Connecticut,Accessories,Fall
Female,Handbag,2,Connecticut,Accessories,Summer
Female,Hoodie,1,Connecticut,Clothing,Spring
Female,Jacket,1,Connecticut,Outerwear,Summer
Female,Jeans,1,Connecticut,Clothing,Fall
Female,Jewelry,3,Connecticut,Accessories,Winter
Female,Pants,2,Connecticut,Clothing,Fall
Female,Sandals,2,Connecticut,Footwear,Spring
Female,Shorts,2,Connecticut,Clothing,Spring
Female,Skirt,1,Connecticut,Clothing,Spring
Female,Socks,2,Connecticut,Clothing,Fall
Female,Sunglasses,1,Connecticut,Accessories,Winter
Female,T-shirt,1,Connecticut,Clothing,Fall
Female,Backpack,1,Delaware,Accessories,Fall
Female,Belt,2,Delaware,Accessories,Summer
Female,Blouse,3,Delaware,Clothing,Summer
Female,Coat,1,Delaware,Outerwear,Fall
Female,Dress,1,Delaware,Clothing,Fall
Female,Gloves,2,Delaware,Accessories,Winter
Female,Hat,1,Delaware,Accessories,Fall
Female,Hoodie,1,Delaware,Clothing,Winter
Female,Jacket,1,Delaware,Outerwear,Winter
Female,Jeans,1,Delaware,Clothing,Spring
Female,Pants,1,Delaware,Clothing,Winter
Female,Sandals,1,Delaware,Footwear,Fall
Female,Scarf,2,Delaware,Accessories,Spring
Female,Shoes,2,Delaware,Footwear,Fall
Female,Shorts,1,Delaware,Clothing,Spring
Female,Socks,1,Delaware,Clothing,Winter
Female,Sunglasses,1,Delaware,Accessories,Fall
Female,Sweater,2,Delaware,Clothing,Spring
Female,Backpack,1,Florida,Accessories,Summer
Female,Handbag,2,Florida,Accessories,Fall
Female,Hat,4,Florida,Accessories,Fall
Female,Hoodie,2,Florida,Clothing,Fall
Female,Scarf,1,Florida,Accessories,Summer
Female,Shirt,1,Florida,Clothing,Summer
Female,Shoes,1,Florida,Footwear,Spring
Female,Skirt,5,Florida,Clothing,Winter
Female,Sneakers,1,Florida,Footwear,Fall
Female,Socks,1,Florida,Clothing,Winter
Female,T-shirt,1,Florida,Clothing,Spring
Female,Blouse,3,Georgia,Clothing,Spring
Female,Dress,2,Georgia,Clothing,Summer
Female,Handbag,1,Georgia,Accessories,Spring
Female,Hat,2,Georgia,Accessories,Spring
Female,Jewelry,2,Georgia,Accessories,Summer
Female,Pants,2,Georgia,Clothing,Summer
Female,Sandals,2,Georgia,Footwear,Fall
Female,Scarf,2,Georgia,Accessories,Winter
Female,Shirt,2,Georgia,Clothing,Spring
Female,Shoes,2,Georgia,Footwear,Summer
Female,Shorts,2,Georgia,Clothing,Spring
Female,Sneakers,1,Georgia,Footwear,Winter
Female,Socks,3,Georgia,Clothing,Winter
Female,Sunglasses,2,Georgia,Accessories,Winter
Female,T-shirt,2,Georgia,Clothing,Fall
Female,Belt,1,Hawaii,Accessories,Summer
Female,Blouse,1,Hawaii,Clothing,Winter
Female,Boots,1,Hawaii,Footwear,Summer
Female,Coat,2,Hawaii,Outerwear,Fall
Female,Gloves,1,Hawaii,Accessories,Winter
Female,Handbag,1,Hawaii,Accessories,Fall
Female,Hat,1,Hawaii,Accessories,Fall
Female,Jacket,1,Hawaii,Outerwear,Spring
Female,Jewelry,1,Hawaii,Accessories,Summer
Female,Pants,1,Hawaii,Clothing,Spring
Female,Shorts,1,Hawaii,Clothing,Fall
Female,Socks,1,Hawaii,Clothing,Summer
Female,Sweater,1,Hawaii,Clothing,Spring
Female,Belt,4,Idaho,Accessories,Fall
Female,Blouse,4,Idaho,Clothing,Fall
Female,Coat,4,Idaho,Outerwear,Fall
Female,Dress,1,Idaho,Clothing,Summer
Female,Gloves,3,Idaho,Accessories,Spring
Female,Hoodie,3,Idaho,Clothing,Summer
Female,Jeans,2,Idaho,Clothing,Spring
Female,Jewelry,1,Idaho,Accessories,Summer
Female,Pants,1,Idaho,Clothing,Fall
Female,Scarf,1,Idaho,Accessories,Spring
Female,Shirt,1,Idaho,Clothing,Winter
Female,Shoes,1,Idaho,Footwear,Summer
Female,Shorts,3,Idaho,Clothing,Summer
Female,Skirt,1,Idaho,Clothing,Winter
Female,Sunglasses,1,Idaho,Accessories,Fall
Female,Sweater,2,Idaho,Clothing,Summer
Female,T-shirt,1,Idaho,Clothing,Winter
Female,Belt,3,Illinois,Accessories,Spring
Female,Blouse,2,Illinois,Clothing,Summer
Female,Boots,1,Illinois,Footwear,Summer
Female,Coat,1,Illinois,Outerwear,Summer
Female,Dress,1,Illinois,Clothing,Fall
Female,Gloves,2,Illinois,Accessories,Summer
Female,Handbag,1,Illinois,Accessories,Summer
Female,Hat,1,Illinois,Accessories,Summer
Female,Hoodie,1,Illinois,Clothing,Winter
Female,Jacket,2,Illinois,Outerwear,Winter
Female,Jewelry,1,Illinois,Accessories,Winter
Female,Pants,1,Illinois,Clothing,Summer
Female,Sandals,1,Illinois,Footwear,Fall
Female,Scarf,2,Illinois,Accessories,Winter
Female,Shirt,5,Illinois,Clothing,Winter
Female,Socks,2,Illinois,Clothing,Winter
Female,Sweater,3,Illinois,Clothing,Fall
Female,Backpack,1,Indiana,Accessories,Summer
Female,Belt,1,Indiana,Accessories,Fall
Female,Blouse,1,Indiana,Clothing,Summer
Female,Boots,1,Indiana,Footwear,Summer
Female,Coat,1,Indiana,Outerwear,Spring
Female,Jewelry,2,Indiana,Accessories,Winter
Female,Sandals,2,Indiana,Footwear,Fall
Female,Scarf,1,Indiana,Accessories,Spring
Female,Shoes,2,Indiana,Footwear,Spring
Female,Shorts,1,Indiana,Clothing,Winter
Female,Sneakers,1,Indiana,Footwear,Summer
Female,Sweater,2,Indiana,Clothing,Winter
Female,T-shirt,1,Indiana,Clothing,Spring
Female,Backpack,2,Iowa,Accessories,Spring
Female,Belt,1,Iowa,Accessories,Summer
Female,Dress,1,Iowa,Clothing,Spring
Female,Gloves,1,Iowa,Accessories,Fall
Female,Handbag,1,Iowa,Accessories,Fall
Female,Jacket,2,Iowa,Outerwear,Winter
Female,Jeans,1,Iowa,Clothing,Winter
Female,Jewelry,2,Iowa,Accessories,Spring
Female,Sandals,1,Iowa,Footwear,Spring
Female,Shoes,2,Iowa,Footwear,Summer
Female,Sunglasses,1,Iowa,Accessories,Winter
Female,Sweater,2,Iowa,Clothing,Winter
Female,Backpack,1,Kansas,Accessories,Spring
Female,Belt,2,Kansas,Accessories,Spring
Female,Blouse,3,Kansas,Clothing,Spring
Female,Boots,3,Kansas,Footwear,Summer
Female,Coat,1,Kansas,Outerwear,Summer
Female,Dress,1,Kansas,Clothing,Spring
Female,Hat,3,Kansas,Accessories,Fall
Female,Jacket,1,Kansas,Outerwear,Spring
Female,Jewelry,1,Kansas,Accessories,Winter
Female,Pants,1,Kansas,Clothing,Fall
Female,Sandals,3,Kansas,Footwear,Fall
Female,Scarf,2,Kansas,Accessories,Summer
Female,Shirt,2,Kansas,Clothing,Winter
Female,Shorts,1,Kansas,Clothing,Winter
Female,Sneakers,2,Kansas,Footwear,Winter
Female,Socks,2,Kansas,Clothing,Spring
Female,T-shirt,1,Kansas,Clothing,Summer
Female,Backpack,1,Kentucky,Accessories,Spring
Female,Belt,2,Kentucky,Accessories,Spring
Female,Blouse,2,Kentucky,Clothing,Fall
Female,Boots,1,Kentucky,Footwear,Spring
Female,Coat,3,Kentucky,Outerwear,Spring
Female,Handbag,3,Kentucky,Accessories,Spring
Female,Hat,1,Kentucky,Accessories,Winter
Female,Jacket,1,Kentucky,Outerwear,Fall
Female,Jewelry,2,Kentucky,Accessories,Spring
Female,Pants,1,Kentucky,Clothing,Fall
Female,Sandals,2,Kentucky,Footwear,Winter
Female,Scarf,2,Kentucky,Accessories,Spring
Female,Shirt,3,Kentucky,Clothing,Winter
Female,Shorts,2,Kentucky,Clothing,Winter
Female,Sunglasses,2,Kentucky,Accessories,Winter
Female,Sweater,2,Kentucky,Clothing,Winter
Female,Backpack,1,Louisiana,Accessories,Winter
Female,Belt,2,Louisiana,Accessories,Fall
Female,Blouse,1,Louisiana,Clothing,Summer
Female,Boots,1,Louisiana,Footwear,Spring
Female,Coat,1,Louisiana,Outerwear,Spring
Female,Dress,2,Louisiana,Clothing,Spring
Female,Gloves,1,Louisiana,Accessories,Winter
Female,Handbag,1,Louisiana,Accessories,Fall
Female,Hat,1,Louisiana,Accessories,Winter
Female,Hoodie,4,Louisiana,Clothing,Fall
Female,Jeans,2,Louisiana,Clothing,Fall
Female,Sandals,4,Louisiana,Footwear,Winter
Female,Shirt,1,Louisiana,Clothing,Fall
Female,Skirt,1,Louisiana,Clothing,Winter
Female,Sneakers,1,Louisiana,Footwear,Summer
Female,Sunglasses,2,Louisiana,Accessories,Spring
Female,T-shirt,1,Louisiana,Clothing,Winter
Female,Belt,1,Maine,Accessories,Fall
Female,Blouse,1,Maine,Clothing,Summer
Female,Boots,3,Maine,Footwear,Spring
Female,Coat,1,Maine,Outerwear,Winter
Female,Dress,1,Maine,Clothing,Fall
Female,Gloves,1,Maine,Accessories,Summer
Female,Handbag,1,Maine,Accessories,Winter
Female,Hat,2,Maine,Accessories,Spring
Female,Jacket,1,Maine,Outerwear,Fall
Female,Jewelry,1,Maine,Accessories,Fall
Female,Pants,3,Maine,Clothing,Winter
Female,Scarf,1,Maine,Accessories,Summer
Female,Shoes,2,Maine,Footwear,Spring
Female,Socks,3,Maine,Clothing,Spring
Female,Sunglasses,2,Maine,Accessories,Fall
Female,Sweater,2,Maine,Clothing,Spring
Female,T-shirt,1,Maine,Clothing,Spring
Female,Blouse,1,Maryland,Clothing,Winter
Female,Boots,1,Maryland,Footwear,Summer
Female,Coat,2,Maryland,Outerwear,Fall
Female,Dress,2,Maryland,Clothing,Summer
Female,Handbag,2,Maryland,Accessories,Winter
Female,Hoodie,1,Maryland,Clothing,Spring
Female,Jacket,2,Maryland,Outerwear,Summer
Female,Jeans,1,Maryland,Clothing,Summer
Female,Jewelry,1,Maryland,Accessories,Summer
Female,Sandals,2,Maryland,Footwear,Summer
Female,Scarf,2,Maryland,Accessories,Spring
Female,Shirt,1,Maryland,Clothing,Fall
Female,Shoes,1,Maryland,Footwear,Winter
Female,Shorts,1,Maryland,Clothing,Summer
Female,Skirt,2,Maryland,Clothing,Spring
Female,Sneakers,3,Maryland,Footwear,Spring
Female,Socks,1,Maryland,Clothing,Summer
Female,Sunglasses,1,Maryland,Accessories,Summer
Female,T-shirt,1,Maryland,Clothing,Summer
Female,Backpack,1,Massachusetts,Accessories,Fall
Female,Boots,3,Massachusetts,Footwear,Spring
Female,Coat,1,Massachusetts,Outerwear,Summer
Female,Dress,1,Massachusetts,Clothing,Winter
Female,Handbag,2,Massachusetts,Accessories,Summer
Female,Hat,1,Massachusetts,Accessories,Fall
Female,Sandals,1,Massachusetts,Footwear,Spring
Female,Scarf,1,Massachusetts,Accessories,Summer
Female,Shirt,2,Massachusetts,Clothing,Winter
Female,Shoes,1,Massachusetts,Footwear,Summer
Female,Sweater,1,Massachusetts,Clothing,Spring
Female,T-shirt,1,Massachusetts,Clothing,Spring
Female,Backpack,1,Michigan,Accessories,Fall
Female,Belt,1,Michigan,Accessories,Winter
Female,Blouse,2,Michigan,Clothing,Summer
Female,Boots,2,Michigan,Footwear,Fall
Female,Dress,1,Michigan,Clothing,Winter
Female,Hat,1,Michigan,Accessories,Summer
Female,Jeans,1,Michigan,Clothing,Spring
Female,Jewelry,1,Michigan,Accessories,Summer
Female,Pants,1,Michigan,Clothing,Summer
Female,Sandals,3,Michigan,Footwear,Summer
Female,Shirt,1,Michigan,Clothing,Fall
Female,Skirt,3,Michigan,Clothing,Summer
Female,Sneakers,2,Michigan,Footwear,Fall
Female,Sunglasses,1,Michigan,Accessories,Spring
Female,Sweater,1,Michigan,Clothing,Summer
Female,T-shirt,2,Michigan,Clothing,Fall
Female,Coat,2,Minnesota,Outerwear,Spring
Female,Dress,1,Minnesota,Clothing,Fall
Female,Handbag,1,Minnesota,Accessories,Spring
Female,Hat,4,Minnesota,Accessories,Winter
Female,Hoodie,1,Minnesota,Clothing,Summer
Female,Jacket,1,Minnesota,Outerwear,Spring
Female,Jeans,1,Minnesota,Clothing,Spring
Female,Sandals,3,Minnesota,Footwear,Spring
Female,Shirt,2,Minnesota,Clothing,Fall
Female,Shoes,3,Minnesota,Footwear,Winter
Female,Shorts,1,Minnesota,Clothing,Fall
Female,Skirt,3,Minnesota,Clothing,Fall
Female,Sneakers,1,Minnesota,Footwear,Spring
Female,Sunglasses,2,Minnesota,Accessories,Fall
Female,T-shirt,2,Minnesota,Clothing,Winter
Female,Backpack,1,Mississippi,Accessories,Summer
Female,Belt,2,Mississippi,Accessories,Summer
Female,Blouse,2,Mississippi,Clothing,Fall
Female,Boots,1,Mississippi,Footwear,Winter
Female,Coat,1,Mississippi,Outerwear,Fall
Female,Handbag,2,Mississippi,Accessories,Fall
Female,Hat,1,Mississippi,Accessories,Fall
Female,Hoodie,1,Mississippi,Clothing,Winter
Female,Jeans,1,Mississippi,Clothing,Fall
Female,Jewelry,3,Mississippi,Accessories,Winter
Female,Sandals,1,Mississippi,Footwear,Spring
Female,Shorts,2,Mississippi,Clothing,Summer
Female,Sneakers,3,Mississippi,Footwear,Winter
Female,Socks,1,Mississippi,Clothing,Winter
Female,Sunglasses,1,Mississippi,Accessories,Winter
Female,T-shirt,2,Mississippi,Clothing,Spring
Female,Belt,3,Missouri,Accessories,Spring
Female,Boots,1,Missouri,Footwear,Spring
Female,Handbag,1,Missouri,Accessories,Spring
Female,Jacket,1,Missouri,Outerwear,Fall
Female,Jewelry,1,Missouri,Accessories,Summer
Female,Scarf,1,Missouri,Accessories,Fall
Female,Shirt,1,Missouri,Clothing,Summer
Female,Sneakers,3,Missouri,Footwear,Spring
Female,Socks,2,Missouri,Clothing,Fall
Female,Sunglasses,2,Missouri,Accessories,Spring
Female,T-shirt,2,Missouri,Clothing,Fall
Female,Backpack,2,Montana,Accessories,Summer
Female,Belt,1,Montana,Accessories,Spring
Female,Blouse,1,Montana,Clothing,Fall
Female,Coat,2,Montana,Outerwear,Summer
Female,Dress,2,Montana,Clothing,Fall
Female,Gloves,3,Montana,Accessories,Summer
Female,Handbag,2,Montana,Accessories,Fall
Female,Hoodie,3,Montana,Clothing,Spring
Female,Jacket,3,Montana,Outerwear,Fall
Female,Jeans,2,Montana,Clothing,Spring
Female,Jewelry,1,Montana,Accessories,Summer
Female,Pants,2,Montana,Clothing,Winter
Female,Sandals,1,Montana,Footwear,Spring
Female,Scarf,1,Montana,Accessories,Summer
Female,Shirt,2,Montana,Clothing,Winter
Female,Shoes,1,Montana,Footwear,Summer
Female,Shorts,2,Montana,Clothing,Spring
Female,Socks,4,Montana,Clothing,Fall
Female,Sunglasses,1,Montana,Accessories,Winter
Female,Sweater,1,Montana,Clothing,Spring
Female,T-shirt,1,Montana,Clothing,Winter
Female,Backpack,3,Nebraska,Accessories,Fall
Female,Belt,1,Nebraska,Accessories,Winter
Female,Boots,2,Nebraska,Footwear,Fall
Female,Coat,1,Nebraska,Outerwear,Summer
Female,Gloves,1,Nebraska,Accessories,Fall
Female,Handbag,1,Nebraska,Accessories,Fall
Female,Hoodie,1,Nebraska,Clothing,Summer
Female,Jewelry,1,Nebraska,Accessories,Spring
Female,Pants,2,Nebraska,Clothing,Winter
Female,Sandals,1,Nebraska,Footwear,Spring
Female,Scarf,1,Nebraska,Accessories,Winter
Female,Shirt,3,Nebraska,Clothing,Summer
Female,Shoes,2,Nebraska,Footwear,Fall
Female,Shorts,1,Nebraska,Clothing,Spring
Female,Skirt,1,Nebraska,Clothing,Summer
Female,Socks,1,Nebraska,Clothing,Fall
Female,Sunglasses,3,Nebraska,Accessories,Spring
Female,Sweater,3,Nebraska,Clothing,Spring
Female,Backpack,5,Nevada,Accessories,Summer
Female,Belt,3,Nevada,Accessories,Winter
Female,Blouse,3,Nevada,Clothing,Summer
Female,Coat,1,Nevada,Outerwear,Winter
Female,Dress,2,Nevada,Clothing,Spring
Female,Gloves,1,Nevada,Accessories,Fall
Female,Hoodie,2,Nevada,Clothing,Summer
Female,Jacket,1,Nevada,Outerwear,Summer
Female,Jewelry,1,Nevada,Accessories,Spring
Female,Shoes,1,Nevada,Footwear,Winter
Female,Shorts,1,Nevada,Clothing,Spring
Female,Socks,3,Nevada,Clothing,Spring
Female,Sunglasses,2,Nevada,Accessories,Fall
Female,Sweater,3,Nevada,Clothing,Winter
Female,Belt,2,New Hampshire,Accessories,Spring
Female,Blouse,2,New Hampshire,Clothing,Fall
Female,Boots,1,New Hampshire,Footwear,Summer
Female,Coat,1,New Hampshire,Outerwear,Spring
Female,Handbag,1,New Hampshire,Accessories,Summer
Female,Hat,1,New Hampshire,Accessories,Winter
Female,Hoodie,1,New Hampshire,Clothing,Fall
Female,Jacket,1,New Hampshire,Outerwear,Spring
Female,Jeans,1,New Hampshire,Clothing,Winter
Female,Jewelry,1,New Hampshire,Accessories,Winter
Female,Pants,1,New Hampshire,Clothing,Fall
Female,Sandals,1,New Hampshire,Footwear,Winter
Female,Scarf,1,New Hampshire,Accessories,Summer
Female,Shirt,1,New Hampshire,Clothing,Spring
Female,Sunglasses,2,New Hampshire,Accessories,Winter
Female,Sweater,1,New Hampshire,Clothing,Spring
Female,T-shirt,2,New Hampshire,Clothing,Winter
Female,Backpack,1,New Jersey,Accessories,Winter
Female,Belt,2,New Jersey,Accessories,Fall
Female,Blouse,1,New Jersey,Clothing,Summer
Female,Boots,1,New Jersey,Footwear,Spring
Female,Coat,1,New Jersey,Outerwear,Spring
Female,Gloves,2,New Jersey,Accessories,Fall
Female,Hat,1,New Jersey,Accessories,Fall
Female,Hoodie,1,New Jersey,Clothing,Summer
Female,Jacket,1,New Jersey,Outerwear,Spring
Female,Pants,2,New Jersey,Clothing,Spring
Female,Scarf,2,New Jersey,Accessories,Winter
Female,Shoes,2,New Jersey,Footwear,Spring
Female,Shorts,1,New Jersey,Clothing,Fall
Female,Skirt,1,New Jersey,Clothing,Fall
Female,Sneakers,2,New Jersey,Footwear,Summer
Female,Socks,2,New Jersey,Clothing,Summer
Female,Sunglasses,1,New Jersey,Accessories,Summer
Female,Belt,3,New Mexico,Accessories,Summer
Female,Hat,2,New Mexico,Accessories,Summer
Female,Hoodie,2,New Mexico,Clothing,Spring
Female,Jacket,2,New Mexico,Outerwear,Fall
Female,Pants,2,New Mexico,Clothing,Summer
Female,Sandals,1,New Mexico,Footwear,Spring
Female,Scarf,1,New Mexico,Accessories,Summer
Female,Shirt,1,New Mexico,Clothing,Winter
Female,Shoes,1,New Mexico,Footwear,Winter
Female,Socks,3,New Mexico,Clothing,Summer
Female,Sunglasses,1,New Mexico,Accessories,Summer
Female,T-shirt,1,New Mexico,Clothing,Fall
Female,Belt,1,New York,Accessories,Spring
Female,Blouse,2,New York,Clothing,Fall
Female,Coat,1,New York,Outerwear,Winter
Female,Gloves,1,New York,Accessories,Winter
Female,Handbag,1,New York,Accessories,Winter
Female,Hat,1,New York,Accessories,Winter
Female,Jacket,3,New York,Outerwear,Fall
Female,Jeans,1,New York,Clothing,Summer
Female,Jewelry,2,New York,Accessories,Spring
Female,Sandals,1,New York,Footwear,Fall
Female,Shoes,2,New York,Footwear,Winter
Female,Shorts,2,New York,Clothing,Fall
Female,Skirt,1,New York,Clothing,Winter
Female,Sneakers,1,New York,Footwear,Summer
Female,Socks,1,New York,Clothing,Fall
Female,Sunglasses,3,New York,Accessories,Winter
Female,Sweater,1,New York,Clothing,Summer
Female,Backpack,2,North Carolina,Accessories,Summer
Female,Belt,2,North Carolina,Accessories,Winter
Female,Boots,2,North Carolina,Footwear,Spring
Female,Gloves,1,North Carolina,Accessories,Spring
Female,Handbag,1,North Carolina,Accessories,Winter
Female,Hat,1,North Carolina,Accessories,Summer
Female,Jacket,1,North Carolina,Outerwear,Spring
Female,Jewelry,1,North Carolina,Accessories,Spring
Female,Pants,1,North Carolina,Clothing,Fall
Female,Sandals,2,North Carolina,Footwear,Fall
Female,Scarf,1,North Carolina,Accessories,Winter
Female,Shirt,1,North Carolina,Clothing,Spring
Female,Shorts,1,North Carolina,Clothing,Winter
Female,Sneakers,3,North Carolina,Footwear,Winter
Female,Socks,1,North Carolina,Clothing,Fall
Female,Sweater,1,North Carolina,Clothing,Fall
Female,T-shirt,1,North Carolina,Clothing,Summer
Female,Blouse,1,North Dakota,Clothing,Winter
Female,Coat,1,North Dakota,Outerwear,Spring
Female,Dress,1,North Dakota,Clothing,Summer
Female,Gloves,1,North Dakota,Accessories,Summer
Female,Handbag,3,North Dakota,Accessories,Fall
Female,Hat,1,North Dakota,Accessories,Fall
Female,Hoodie,1,North Dakota,Clothing,Fall
Female,Jacket,5,North Dakota,Outerwear,Fall
Female,Jeans,1,North Dakota,Clothing,Winter
Female,Jewelry,1,North Dakota,Accessories,Winter
Female,Pants,1,North Dakota,Clothing,Fall
Female,Shirt,1,North Dakota,Clothing,Summer
Female,Shoes,1,North Dakota,Footwear,Winter
Female,Shorts,1,North Dakota,Clothing,Summer
Female,Skirt,1,North Dakota,Clothing,Summer
Female,Socks,2,North Dakota,Clothing,Spring
Female,Sweater,1,North Dakota,Clothing,Winter
Female,Belt,1,Ohio,Accessories,Winter
Female,Blouse,1,Ohio,Clothing,Winter
Female,Boots,1,Ohio,Footwear,Winter
Female,Coat,1,Ohio,Outerwear,Fall
Female,Dress,2,Ohio,Clothing,Winter
Female,Handbag,1,Ohio,Accessories,Summer
Female,Hat,1,Ohio,Accessories,Winter
Female,Hoodie,2,Ohio,Clothing,Fall
Female,Jacket,1,Ohio,Outerwear,Fall
Female,Jeans,1,Ohio,Clothing,Summer
Female,Pants,1,Ohio,Clothing,Summer
Female,Sandals,4,Ohio,Footwear,Winter
Female,Skirt,2,Ohio,Clothing,Summer
Female,Sneakers,1,Ohio,Footwear,Summer
Female,Socks,3,Ohio,Clothing,Fall
Female,Sunglasses,1,Ohio,Accessories,Winter
Female,Sweater,1,Ohio,Clothing,Summer
Female,T-shirt,3,Ohio,Clothing,Winter
Female,Backpack,1,Oklahoma,Accessories,Fall
Female,Blouse,1,Oklahoma,Clothing,Winter
Female,Boots,2,Oklahoma,Footwear,Fall
Female,Dress,1,Oklahoma,Clothing,Winter
Female,Hat,3,Oklahoma,Accessories,Fall
Female,Jacket,4,Oklahoma,Outerwear,Winter
Female,Jeans,1,Oklahoma,Clothing,Summer
Female,Jewelry,1,Oklahoma,Accessories,Winter
Female,Pants,2,Oklahoma,Clothing,Winter
Female,Shirt,2,Oklahoma,Clothing,Fall
Female,Shorts,1,Oklahoma,Clothing,Winter
Female,Socks,1,Oklahoma,Clothing,Fall
Female,Sunglasses,1,Oklahoma,Accessories,Spring
Female,Sweater,1,Oklahoma,Clothing,Spring
Female,T-shirt,1,Oklahoma,Clothing,Winter
Female,Blouse,2,Oregon,Clothing,Fall
Female,Boots,1,Oregon,Footwear,Spring
Female,Coat,1,Oregon,Outerwear,Spring
Female,Dress,1,Oregon,Clothing,Fall
Female,Pants,1,Oregon,Clothing,Winter
Female,Scarf,1,Oregon,Accessories,Fall
